device_id,timestamp,temperature_c,battery_pct,humidity_pct,signal_dbm,raw
device_007,2025-10-21T08:05:13.738348,33.18,75.56,77.77,-47.52,manual override
device_002,2025-10-21T08:09:13.738348,16.45,86.44,75.72,-117.35,CRC error
device_001,2025-10-21T08:24:13.738348,20.0,95.62,68.78,-66.57,
device_007,2025-10-21T08:35:13.738348,42.35,,15.11,-50.34,CRC error
device_007,2025-10-21T08:38:13.738348,23.32,75.76,74.06,-113.5,sensor glitch
,2025-10-21T08:42:13.738348,39.93,31.09,N/A,-100.25,manual override
device_004,2025-10-21T08:49:13.738348,,71.49,47.76,-78.54,manual override
device_003,2025-10-21T09:01:13.738348,35.23,12.21,96.56,-29.47,CRC error
device_006,,25.93,28.64,74.66,-113.04,sensor glitch
device_002,2025-10-21T09:18:13.738348,27.59,70.44,47.61,-58.09,
,2025-10-21T09:22:13.738348,13.38,23.67,51.81,-61.91,CRC error
device_005,2025-10-21T09:35:13.738348,32.03,88.61,16.03,-60.6,CRC error
device_006,2025-10-21T09:37:13.738348,45.57,41.23,14.4,-75.94,sensor glitch
device_009,,31.49,84.83,55.29,-47.58,out of range
device_004,2025-10-21T09:55:13.738348,27.32,60.28,60.4,,CRC error
,2025-10-21T10:00:13.738348,15.46,83.42,24.86,-92.75,manual override
device_003,2025-10-21T10:09:13.738348,15.33,7.8,76.87,-60.28,CRC error
device_010,2025-10-21T10:10:13.738348,42.96,68.9,58.72,-40.55,sensor glitch
device_001,2025-10-21T10:23:13.738348,37.81,82.53,49.85,-104.83,sensor glitch
device_010,2025-10-21T10:36:13.738348,30.81,9.67,74.89,-44.95,manual override
device_010,2025-10-21T10:39:13.738348,41.75,41.11,91.79,-88.84,sensor glitch
device_007,2025-10-21T10:40:13.738348,33.95,18.58,98.88,-106.55,CRC error
,2025-10-21T10:48:13.738348,14.89,89.29,55.75,-30.11,sensor glitch
device_007,2025-10-21T10:56:13.738348,37.2,74.73,58.85,-81.89,out of range
device_001,2025-10-21T10:58:13.738348,20.51,15.47,91.69,-56.96,manual override
device_001,2025-10-21T11:03:13.738348,19.72,71.87,37.3,-98.64,out of range
unknown_device,2025-10-21T11:09:13.738348,41.75,5.79,40.57,-57.13,
device_010,2025-10-21T11:21:13.738348,20.65,95.14,75.23,-43.73,manual override
device_007,2025-10-21T11:36:13.738348,22.74,49.76,,-56.22,out of range
device_002,2025-10-21T11:49:13.738348,28.71,87.0,36.02,-82.87,CRC error
device_007,2025-10-21T11:50:13.738348,27.92,80.88,69.2,-57.7,
device_005,2025-10-21T12:05:13.738348,26.52,91.96,23.07,-125.32,CRC error
device_008,2025-10-21T12:17:13.738348,19.52,85.38,49.33,-38.99,manual override
unknown_device,2025-10-21T12:22:13.738348,32.39,13.59,64.0,-51.96,manual override
,2025-10-21T12:29:13.738348,35.15,N/A,79.31,-51.57,CRC error
unknown_device,2025-10-21T12:31:13.738348,30.01,52.07,54.34,-102.76,manual override
device_001,2025-10-21T12:42:13.738348,45.66,53.13,92.39,-51.7,
,2025-10-21T12:48:13.738348,18.55,68.1,36.86,-116.03,
device_003,2025-10-21T12:55:13.738348,21.98,41.7,55.04,-86.41,manual override
device_005,2025-10-21T13:06:13.738348,20.94,59.5,101.11,-108.16,sensor glitch
device_008,2025-10-21T13:17:13.738348,38.94,25.31,59.48,-105.54,
device_001,2025-10-21T13:28:13.738348,18.61,1.23,85.83,-68.08,CRC error
device_003,2025-10-21T13:42:13.738348,21.43,51.58,73.65,-105.67,sensor glitch
device_006,2025-10-21T13:57:13.738348,N/A,32.65,64.75,-83.38,CRC error
unknown_device,2025-10-21T14:00:13.738348,38.37,54.52,46.23,-49.93,out of range
device_007,2025-10-21T14:10:13.738348,25.94,70.24,unknown,-53.47,manual override
device_009,2025-10-21T14:13:13.738348,40.25,48.5,81.1,-80.8,
,2025-10-21T14:24:13.738348,33.57,73.96,36.62,-52.61,sensor glitch
device_003,2025-10-21T14:27:13.738348,42.38,-4.23,12.42,-103.58,
