sensor_id,device_id,timestamp,reading_type,reading_value,unit
sensor_0166,device_010,2025-10-27T00:41:13.934879,error_type,19.92,
sensor_0090,device_008,2025-10-30T03:47:13.934921,signal,111.33,%
sensor_0141,device_004,2025-10-25T10:50:13.934939,error_type,unknown,C
sensor_0129,device_006,2025-10-25T15:42:13.934957,battery,69.57,g
sensor_0181,device_001,2025-10-28T04:45:13.934972,battery,53.57,
sensor_0038,device_003,2025-10-25T22:22:13.934988,temperature,-16.64,%
sensor_0033,,2025-10-29T09:27:13.935003,signal,-10.99,dBm
sensor_0143,device_008,2025-10-24T16:10:13.935021,signal,91.03,C
sensor_0156,,2025-10-24T10:12:13.935039,vibration,-14.65,
sensor_0075,,2025-10-26T20:39:13.935055,signal,58.49,g
sensor_0046,device_010,2025-10-29T08:40:13.935068,humidity,109.54,
sensor_0069,,,error_type,76.53,g
sensor_0173,device_008,,vibration,-37.33,g
sensor_0067,device_003,2025-10-28T20:02:13.935105,temperature,-17.16,Hz
sensor_0009,device_010,2025-10-26T19:02:13.935119,error_type,19.59,Hz
sensor_0129,device_008,2025-10-27T08:03:13.935133,error_type,-24.18,%
sensor_0088,device_006,2025-10-28T21:42:13.935146,error_type,23.95,dBm
sensor_0148,device_009,2025-10-28T21:08:13.935160,signal,86.01,
sensor_0030,device_001,2025-10-31T00:42:13.935174,humidity,19.65,dBm
sensor_0091,device_001,2025-10-27T22:01:13.935186,error_type,-14.99,
sensor_0083,,2025-10-24T20:47:13.935200,error_type,59.43,
sensor_0003,device_009,2025-10-31T00:14:13.935214,battery,-25.91,
sensor_0170,device_004,2025-10-27T14:25:13.935227,battery,-49.32,
sensor_0181,device_004,2025-10-29T14:00:13.935242,temperature,54.37,
sensor_0026,device_010,2025-10-24T14:50:13.935256,temperature,133.79,
sensor_0177,device_002,2025-10-26T23:31:13.935270,signal,error,
sensor_0022,device_004,2025-10-29T17:47:13.935284,vibration,,C
sensor_0151,device_009,2025-10-25T21:09:13.935299,battery,87.29,C
sensor_0169,device_001,2025-10-30T23:32:13.935321,vibration,139.9,dBm
sensor_0102,device_008,2025-10-26T16:45:13.935335,battery,29.14,
sensor_0187,device_002,2025-10-28T17:24:13.935350,temperature,-8.45,dBm
sensor_0123,,2025-10-28T19:52:13.935363,signal,-35.03,
sensor_0018,,2025-10-26T18:09:13.935377,battery,23.66,g
sensor_0030,device_002,2025-10-24T14:20:13.935391,signal,80.19,%
sensor_0006,device_010,2025-10-29T10:47:13.935404,temperature,73.95,Hz
sensor_0025,device_007,2025-10-26T06:25:13.935418,signal,115.64,C
sensor_0107,device_002,2025-10-28T05:17:13.935432,battery,123.92,dBm
sensor_0151,device_005,2025-10-27T17:37:13.935446,humidity,-5.98,C
sensor_0020,device_009,2025-10-28T21:06:13.935460,temperature,2.82,Hz
sensor_0074,device_009,2025-10-29T16:33:13.935474,battery,78.59,
sensor_0140,device_009,2025-10-28T13:00:13.935487,signal,12.5,
sensor_0148,,2025-10-29T22:51:13.935502,battery,58.6,%
sensor_0182,device_006,2025-10-27T13:39:13.935516,battery,14.55,dBm
sensor_0181,device_001,2025-10-25T21:33:13.935529,temperature,9.75,C
sensor_0109,,2025-10-25T05:44:13.935541,error_type,-9.61,g
sensor_0011,device_002,2025-10-27T11:32:13.935556,humidity,71.54,Hz
sensor_0048,device_003,2025-10-30T06:19:13.935569,vibration,54.73,%
sensor_0031,device_006,2025-10-27T17:34:13.935584,battery,-39.54,g
sensor_0005,device_008,2025-10-25T13:43:13.935598,vibration,-25.97,%
sensor_0065,device_010,2025-10-27T08:45:13.935612,signal,32.75,
sensor_0092,device_009,2025-10-28T08:29:13.935625,signal,-4.77,%
sensor_0077,device_010,2025-10-29T13:27:13.935639,humidity,91.58,C
sensor_0062,,2025-10-30T05:00:13.935653,temperature,-43.21,g
sensor_0150,device_002,2025-10-25T01:41:13.935668,battery,-47.59,
sensor_0061,device_001,2025-10-30T21:39:13.935681,signal,-19.62,
sensor_0067,device_007,2025-10-26T21:33:13.935694,battery,-21.55,
sensor_0167,device_007,2025-10-30T12:55:13.935708,battery,145.32,
sensor_0196,device_009,2025-10-24T11:16:13.935722,vibration,21.24,g
sensor_0198,device_006,2025-10-26T13:17:13.935736,humidity,89.56,%
sensor_0034,device_001,2025-10-27T00:06:13.935749,battery,63.6,
sensor_0079,device_008,2025-10-30T14:27:13.935763,error_type,134.47,dBm
sensor_0136,device_003,2025-10-26T20:31:13.935777,humidity,-32.79,g
sensor_0170,device_009,2025-10-31T07:30:13.935792,battery,85.19,dBm
sensor_0136,device_005,2025-10-26T21:55:13.935806,humidity,0.21,Hz
sensor_0019,device_007,2025-10-26T00:57:13.935820,signal,139.53,dBm
sensor_0058,,2025-10-25T19:47:13.935834,battery,-13.78,Hz
sensor_0179,device_003,2025-10-31T02:25:13.935847,vibration,137.7,C
sensor_0140,,2025-10-25T03:16:13.935865,error_type,,g
sensor_0177,device_010,2025-10-30T20:18:13.935882,humidity,-11.96,C
sensor_0004,device_009,2025-13-40,humidity,28.63,%
sensor_0065,device_006,2025-10-31T00:57:13.935908,battery,78.01,
sensor_0187,device_010,2025-10-29T08:20:13.935927,humidity,-13.44,g
sensor_0012,device_007,2025-10-24T21:37:13.935941,battery,138.49,C
sensor_0197,device_005,2025-10-26T15:47:13.935955,signal,130.27,g
sensor_0183,device_007,2025-10-25T11:03:13.935968,humidity,-2.26,g
sensor_0095,,2025-10-25T17:27:13.935982,error_type,-31.89,C
sensor_0169,device_002,2025-10-28T21:36:13.935996,humidity,66.51,dBm
sensor_0148,device_001,2025-10-26T13:12:13.936011,humidity,56.73,dBm
sensor_0121,device_004,2025-10-28T21:08:13.936024,error_type,134.08,g
sensor_0182,device_002,2025-10-28T15:17:13.936037,error_type,-13.87,C
sensor_0193,device_005,,signal,148.44,dBm
sensor_0195,device_010,2025-10-29T00:16:13.936062,error_type,49.91,%
sensor_0065,device_005,2025-10-27T20:30:13.936076,signal,30.59,dBm
sensor_0122,device_009,2025-10-24T20:02:13.936090,humidity,138.37,g
sensor_0145,device_009,2025-10-31T03:19:13.936103,temperature,20.97,
sensor_0145,device_001,2025-10-29T03:50:13.936117,humidity,47.01,C
sensor_0152,device_009,2025-10-29T19:05:13.936130,signal,74.83,
sensor_0035,device_004,2025-10-24T15:36:13.936144,error_type,10.38,Hz
sensor_0006,device_002,2025-10-26T08:27:13.936157,vibration,-13.2,dBm
sensor_0041,device_002,2025-10-26T00:52:13.936170,signal,45.4,C
sensor_0194,device_010,2025-10-29T11:17:13.936184,signal,,
sensor_0054,device_008,2025-10-27T18:47:13.936199,signal,-29.28,Hz
sensor_0159,device_004,2025-10-25T13:15:13.936213,battery,76.77,C
sensor_0051,device_010,2025-10-31T03:37:13.936226,vibration,15.53,
sensor_0014,device_001,2025-10-24T22:15:13.936241,temperature,14.46,g
sensor_0076,device_003,2025-10-25T04:14:13.936255,error_type,52.74,
sensor_0075,,2025-10-28T03:19:13.936269,error_type,118.49,
sensor_0015,device_003,2025-10-30T23:04:13.936282,error_type,38.07,%
sensor_0068,,2025-10-25T06:12:13.936296,signal,-26.22,
sensor_0124,device_002,2025-10-29T05:35:13.936310,signal,100.21,g
sensor_0003,device_001,2025-10-29T00:42:13.936323,humidity,11.74,Hz
sensor_0151,device_010,2025-10-24T15:48:13.936336,error_type,129.21,
sensor_0024,device_007,2025-10-25T21:11:13.936350,error_type,46.76,
sensor_0100,device_003,2025-10-30T10:08:13.936363,temperature,60.56,
sensor_0011,device_002,2025-10-29T14:33:13.936378,error_type,63.66,
sensor_0069,device_008,2025-10-27T17:04:13.936392,temperature,126.38,
sensor_0038,device_004,2025-10-29T20:43:13.936406,vibration,20.27,%
sensor_0108,,2025-10-26T13:01:13.936420,vibration,13.17,C
sensor_0066,device_009,2025-10-30T10:07:13.936434,error_type,81.24,%
sensor_0007,device_003,2025-10-30T11:05:13.936451,battery,-48.04,%
sensor_0162,device_002,2025-10-28T04:31:13.936467,temperature,5.22,Hz
sensor_0053,device_002,2025-10-28T21:23:13.936481,humidity,139.3,dBm
sensor_0080,,2025-10-25T22:58:13.936494,signal,-1.13,dBm
sensor_0170,device_009,2025-10-24T19:31:13.936507,signal,3.84,g
sensor_0143,device_006,2025-10-28T00:54:13.936521,humidity,51.7,dBm
sensor_0112,device_010,2025-10-30T11:23:13.936534,vibration,-6.4,g
sensor_0169,device_003,2025-10-31T05:36:13.936548,signal,119.06,dBm
sensor_0080,device_008,2025-10-24T14:29:13.936562,battery,122.37,
sensor_0010,device_010,2025-10-26T05:35:13.936576,signal,0.04,g
sensor_0049,,2025-10-28T01:47:13.936591,battery,-43.11,C
sensor_0092,device_002,2025-10-26T22:49:13.936605,temperature,16.09,C
sensor_0072,device_003,2025-10-27T02:35:13.936619,temperature,113.78,
sensor_0176,,2025-10-30T07:02:13.936633,vibration,-8.35,g
sensor_0174,,2025-10-26T15:08:13.936648,humidity,34.34,
sensor_0093,device_003,2025-10-27T00:53:13.936661,signal,5.02,%
sensor_0123,,2025-10-30T23:56:13.936675,error_type,96.38,C
